instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BackTracking,U,7.426412776112556e-05,{}
2,4,10,BackTracking,S,5.948031321167946e-05,"{1: 0, 2: 1, 3: 1, 4: 1}"
3,4,10,BackTracking,U,4.1064806282520294e-05,{}
4,4,10,BackTracking,S,3.001885488629341e-05,"{1: 1, 2: 0, 3: 0, 4: 0}"
5,4,10,BackTracking,S,2.2448133677244186e-05,"{1: 0, 2: 0, 3: 1, 4: 1}"
6,4,10,BackTracking,S,5.63780777156353e-05,"{1: 1, 2: 1, 3: 0, 4: 1}"
7,4,10,BackTracking,S,1.944601535797119e-05,"{1: 0, 2: 0, 3: 0, 4: 0}"
8,4,10,BackTracking,U,6.339605897665024e-05,{}
9,4,10,BackTracking,U,2.7013011276721954e-05,{}
10,4,10,BackTracking,U,6.528524681925774e-05,{}
11,8,16,BackTracking,U,0.00029588909819722176,{}
12,8,16,BackTracking,U,0.0004994040355086327,{}
13,8,16,BackTracking,S,0.000169471837580204,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 1, 8: 0}"
14,8,16,BackTracking,S,0.00021628616377711296,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1}"
15,8,16,BackTracking,U,0.00030735135078430176,{}
16,8,16,BackTracking,U,0.00016692699864506721,{}
17,8,16,BackTracking,S,0.00013925926759839058,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0}"
18,8,16,BackTracking,U,0.0004186662845313549,{}
19,8,16,BackTracking,S,0.00015718862414360046,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0}"
20,8,16,BackTracking,S,9.836023673415184e-05,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1}"
21,12,24,BackTracking,S,0.00029385508969426155,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 1, 8: 0, 9: 1, 10: 1, 11: 0, 12: 1}"
22,12,24,BackTracking,S,0.00013466179370880127,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 1, 11: 0, 12: 0}"
23,12,24,BackTracking,U,0.0011040843091905117,{}
24,12,24,BackTracking,U,0.0004314333200454712,{}
25,12,24,BackTracking,S,0.00017179595306515694,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 1, 9: 1, 10: 1, 11: 1, 12: 0}"
26,12,24,BackTracking,U,0.0014627729542553425,{}
27,12,24,BackTracking,U,0.0005764281377196312,{}
28,12,24,BackTracking,S,0.0005444171838462353,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 1, 12: 1}"
29,12,24,BackTracking,U,0.0021666157990694046,{}
30,12,24,BackTracking,S,0.0015086270868778229,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 0}"
31,16,32,BackTracking,S,0.0005548726767301559,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 1}"
32,16,32,BackTracking,U,0.0011118380352854729,{}
33,16,32,BackTracking,S,0.0010623480193316936,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1}"
34,16,32,BackTracking,S,0.00046186428517103195,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0, 12: 0, 13: 1, 14: 1, 15: 1, 16: 1}"
35,16,32,BackTracking,U,0.0013945447281002998,{}
36,16,32,BackTracking,S,0.0003342540003359318,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 1, 11: 0, 12: 1, 13: 0, 14: 1, 15: 1, 16: 1}"
37,16,32,BackTracking,U,0.001394991297274828,{}
38,16,32,BackTracking,U,0.004822986200451851,{}
39,16,32,BackTracking,S,0.0008961991406977177,"{1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 1, 12: 1, 13: 0, 14: 0, 15: 1, 16: 0}"
40,16,32,BackTracking,U,0.008382305037230253,{}
41,18,36,BackTracking,U,0.004269193857908249,{}
42,18,36,BackTracking,U,0.0023805582895874977,{}
43,18,22,BackTracking,U,0.00035785185173153877,{}
