instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,9.613996371626854e-05,{}
2,4,10,BruteForce,S,3.082398325204849e-05,"{1: 0, 2: 1, 3: 1, 4: 1}"
3,4,10,BruteForce,U,7.415283471345901e-05,{}
4,4,10,BruteForce,S,3.7278980016708374e-05,"{1: 1, 2: 0, 3: 0, 4: 0}"
5,4,10,BruteForce,S,1.1747237294912338e-05,"{1: 0, 2: 0, 3: 1, 4: 1}"
6,4,10,BruteForce,S,4.417635500431061e-05,"{1: 1, 2: 1, 3: 1, 4: 1}"
7,4,10,BruteForce,S,5.877111107110977e-06,"{1: 0, 2: 0, 3: 0, 4: 0}"
8,4,10,BruteForce,U,5.298387259244919e-05,{}
9,4,10,BruteForce,U,6.114784628152847e-05,{}
10,4,10,BruteForce,U,5.690800026059151e-05,{}
11,8,16,BruteForce,U,0.00124255008995533,{}
12,8,16,BruteForce,U,0.0011092526838183403,{}
13,8,16,BruteForce,S,0.00047693122178316116,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 1, 8: 0}"
14,8,16,BruteForce,S,0.0003737080842256546,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1}"
15,8,16,BruteForce,U,0.001152773853391409,{}
16,8,16,BruteForce,U,0.0008184700272977352,{}
17,8,16,BruteForce,S,0.000493916217237711,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0}"
18,8,16,BruteForce,U,0.0009666960686445236,{}
19,8,16,BruteForce,S,0.00031805504113435745,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0}"
20,8,16,BruteForce,S,0.0005625043995678425,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1}"
21,12,24,BruteForce,S,0.0030272160656750202,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 1, 8: 0, 9: 1, 10: 1, 11: 1, 12: 1}"
22,12,24,BruteForce,S,0.0001756567507982254,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 1, 11: 0, 12: 0}"
23,12,24,BruteForce,U,0.015266611240804195,{}
24,12,24,BruteForce,U,0.0145067498087883,{}
25,12,24,BruteForce,S,0.000895399134606123,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 1, 9: 1, 10: 1, 11: 1, 12: 0}"
26,12,24,BruteForce,U,0.0142209199257195,{}
27,12,24,BruteForce,U,0.015163274016231298,{}
28,12,24,BruteForce,S,0.015053933952003717,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1}"
29,12,24,BruteForce,U,0.016499170567840338,{}
30,12,24,BruteForce,S,0.004074437078088522,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 0}"
31,16,32,BruteForce,S,0.012377787847071886,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1, 15: 1, 16: 1}"
32,16,32,BruteForce,U,0.24939195811748505,{}
33,16,32,BruteForce,S,0.09008467616513371,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1}"
34,16,32,BruteForce,S,0.08115393575280905,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1}"
35,16,32,BruteForce,U,0.20345032773911953,{}
36,16,32,BruteForce,S,0.07281254371628165,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 1, 11: 0, 12: 1, 13: 0, 14: 1, 15: 1, 16: 1}"
37,16,32,BruteForce,U,0.22737759398296475,{}
38,16,32,BruteForce,U,0.37269179290160537,{}
39,16,32,BruteForce,S,0.17658925987780094,"{1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 1, 12: 1, 13: 0, 14: 0, 15: 1, 16: 0}"
40,16,32,BruteForce,U,0.27091610291972756,{}
41,18,36,BruteForce,U,1.2138486322946846,{}
42,18,36,BruteForce,U,1.3468363210558891,{}
43,18,22,BruteForce,U,1.176454606000334,{}
